Title,Price sale,Price origin,url,CPU type,RAM type,Number of RAM slots,Material,Security,Manufacturer,Panel material,Screen size,Screen resolution,Operating system,Brand,Storage,Ram,CPU
Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,12190000,17290000,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn.html,"Intel Core i5-12450H (8 lõi: (4P + 4E) / 12 luồng: P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB)",LPDDR5-4800 Onboard,,Vỏ kim loại,Firmware TPM 2.0 ,,Tấm nền IPS,14,1920 x 1200 pixels (WUXGA),Windows 11,Lenovo,1024.0,16,i5
Laptop HP Pavilion 14-DV2073TU 7C0P2PA,13490000,20990000,https://cellphones.com.vn/laptop-hp-pavilion-14-dv2073tu-7c0p2pa.html,"Intel Core i5-1235U, 10 lõi / 12 luồng, 4.40 GHz, 12MB",DDR4 3200MHz,2 x 8 GB,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,16,i5
Laptop Huawei Matebook D15,7990000,13990000,https://cellphones.com.vn/laptop-huawei-matebook-d15-r7-5700u.html,AMD Ryzen 7-5700U,DDR4 Onboard,,,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Huawei,512.0,8,Ryzen 7
Laptop MSI Gaming Bravo 15 B7ED-010VN,13490000,18490000,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-b7ed-010vn.html,"AMD Ryzen 5 - 7535HS (6 lõi / 12 luồng, 3.30 GHz, Turbo Boost 4.55 GHz, 16 MB)",DDR5 4800 MHz,"(2 thanh 8 GB, nâng cấp tối đa 64 GB)",Vỏ nhựa,TPM 2.0,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,16,Ryzen 5
Laptop Lenovo IdeaPad 3 14ITL6 82H701QWVN,6390000,11290000,https://cellphones.com.vn/laptop-lenovo-ideapad-3-14itl6-82h701qwvn.html,"Intel Core i3-1115G4 (2 lõi / 4 luồng, 3.0 / 4.1GHz, 6MB)",DDR4-3200 Onboard,2 khe nâng cấp tối đa 16GB (8GB Onboard + 1 khe trống),Vỏ nhựa,Firmware TPM 2.0,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,8,i3
Macbook Air M3 13 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,25390000,27990000,https://cellphones.com.vn/macbook-air-m3-13-inch-2024.html,CPU Apple M3 8 LõiNeural Engine 16 lõi,,,,,,,13.6,,Mac,Mac,256.0,8,M3
Laptop ASUS VivoBook S 14 FLIP TP3402VA-LZ025W,8490000,16990000,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz025w.html,"I3-1315U 2 GHz (10MB cache, up to 4.5 GHz, 6 lõi/8 luồng)",DDR4 Onboard,8GB onboard + 1 khe ramNâng cấp tối đa 16GB,Vỏ kim loại,McAfee LiveSafe 30 ngày dùng thử miễn phíTrusted Platform Module MyASUS feature System diagnosis,ASUS,Tấm nền IPS,14,1920 x 1200 pixels (WUXGA),Windows 11,ASUS,256.0,8,I3
Macbook Air M3 15 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,29690000,32990000,https://cellphones.com.vn/macbook-air-m3-15-inch-2024.html,CPU Apple M3 8 LõiNeural Engine 16 lõi,,,,,,,15.3,,Mac,Mac,256.0,8,M3
Laptop MSI Gaming GF63 12VE-460VN,18490000,22490000,https://cellphones.com.vn/laptop-msi-gaming-gf63-12ve-460vn.html,"Intel Core i5 Alder Lake - 12450H (8 lõi / 12 luồng, 2.00 GHz,  Turbo Boost 4.4 GHz, 12MB)",DDR4 3200 MHz,"2 khe (1 khe 8 GB + 1 khe rời, hỗ trợ nâng cấp tối đa 64GB)",Vỏ kim loại,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,MSI,512.0,8,i5
Laptop ASUS Zenbook 14 OLED UM3402YA-KM405W,17490000,24990000,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-um3402ya-km405w.html,"AMD Ryzen 5 7530U (2.0GHz, 6 lõi / 12 luồng, 16MB cache, up to 4.5 GHz max boost)",LPDDR4X Onboard,,Vỏ kim loại,Cảm biến vân tay tích hợp với Power Key McAfee LiveSafe Mô-đun nền tảng đáng tin cậy (TPM),,Tấm nền Oled,14,2880 x 1800 pixels,Windows 11,ASUS,512.0,16,Ryzen 5
