Title,Price sale,CPU,Ram,Storage,Operating system,Brand,Screen size,discount
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11 (No.00872250)",12290000.0,ryzen 5,16.0,512.0,Windows 11,asus,14.0,2700000.0
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/Nvidia RTX 2050 4GB/Win11 (No.00906453)",18490000.0,i5,16.0,512.0,Windows 11,lenovo,15.6,3000000.0
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14''FHD/AMD Radeon Graphics/Win11 (No.00874398),13490000.0,ryzen 5,16.0,512.0,Windows 11,hp,14.0,1700000.0
"Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6""FHD/Win11 (No.00906291)",12490000.0,ryzen 7,16.0,512.0,Windows 11,acer,15.6,2500000.0
Laptop HP Pavilion Aero 13-be2098AU R7 7735U/16GB/512GB/13.3''WUXGA/Win11 (No.00900050),19490000.0,ryzen 7,16.0,512.0,Windows 11,hp,13.3,2500000.0
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX 3050 4GB/Win11 (No.00883758)",20990000.0,i5,16.0,512.0,Windows 11,asus,15.6,4000000.0
"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11 (No.00899872)",15690000.0,i7,16.0,512.0,Windows 11,lenovo,15.6,1800000.0
"Laptop MSI Modern 14 C7M-220VN R5 7530U/8GB/512GB/14""FHD/Win 11 (No.00895155)",10490000.0,ryzen 5,8.0,512.0,Windows 11,msi,14.0,1500000.0
Laptop Asus TUF Gaming FX506HF-HN017W i5 11400H/16GB/512GB/GeForce RTX 2050 4GB/Win11 (No.00870696),17490000.0,i5,16.0,512.0,Windows 11,asus,15.6,2500000.0
"Laptop Dell Inspiron 15 N3530 i5 1335U/16GB/512GB/15.6""FHD/NVIDIA MX550 2GB/Win11/Office HS21 (No.00904770)",22090000.0,i5,16.0,512.0,Windows 11,dell,15.6,0.0
"Laptop Asus Vivobook X1404ZA-NK387W i3 1215U/8GB/512GB/14"" FHD/Win11 (No.00904944)",9990000.0,i3,8.0,512.0,Windows 11,asus,14.0,2000000.0
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11 (No.00898312)",13890000.0,i5,16.0,512.0,Windows 11,lenovo,14.0,1600000.0
