Title,Price sale,Price origin,Screen,CPU,Ram,Storage,Graphics,Operating system,Weight,Dimensions,Origin,Year,"urlre""",Brand,Name,CPU_Model,CPU_Code,Screen size,Resolution,Panel_Type,Refresh_Rate,Brightness,Product
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11 (No.00872250)",12290000.0,14990000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, LED-backlit",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.3,32.45 x 21.39 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u,Asus,Asus Vivobook E1404FA-NK186W R5 7520U,Ryzen 5,7520U,14.0,1920 x 1080 Pixels,IPS,60,250 nits,E1404FA-NK186W R5 7520U
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/Nvidia RTX 2050 4GB/Win11 (No.00906453)",18490000.0,21490000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144, 300 nits, Anti-Glare",i5,16,512.0,NVIDIA GeForce RTX 2050 4GB GDDR6,Windows 11,2.3,359.86 x 258.7 x 21.9-23.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax-9-i5-12450hx,Lenovo,Lenovo Gaming LOQ - 15IAX9 i5 12450HX,Core i5,12450HX,15.6,1920 x 1080 Pixels,IPS,144,300 nits,LOQ - 15IAX9 i5 12450HX
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14''FHD/AMD Radeon Graphics/Win11 (No.00874398),13490000.0,15190000.0,"14 inch, 1920 x 1080 Pixels, SVA, 60 Hz, 250 nits, FHD",Ryzen 5,16,512.0,AMD Radeon Graphics,Windows 11,1.4,32.37 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u,HP,HP 14s-em0086AU R5 7520U,Ryzen 5,7520U,14,1920 x 1080 Pixels,SVA,60,250 nits,R5 7520U
"Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6""FHD/Win11 (No.00906291)",12490000.0,14990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 60, FHD",Ryzen 7,16,512.0,AMD Radeon Graphics,Windows 11,1.7,362.9 x 241.26 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u,Acer,Acer Aspire 3 A315-44P-R5QG R7 5700U,Ryzen 7,7500U,15.6,1920 x 1080 Pixels,IPS,60,FHD,3 A315-44P-R5QG R7 5700U
Laptop HP Pavilion Aero 13-be2098AU R7 7735U/16GB/512GB/13.3''WUXGA/Win11 (No.00900050),19490000.0,21990000.0,"13.3 inch, 1920 x 1200 Pixels, IPS, , 400 nits, LCD",Ryzen 7,16,512.0,AMD Radeon Graphics,Windows 11,1,29.76 x 20.9 x 1.69 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-aero-13-be2098au-r7-7735u,HP,HP Pavilion Aero 13-be2098AU R7 7735U,Ryzen 7,7735U,13.3,1920 x 1200 Pixels,IPS,,400 nits,Aero 13-be2098AU R7 7735U
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX 3050 4GB/Win11 (No.00883758)",20990000.0,24990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, Anti - Glare",i5,16,512.0,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,Windows 11,2.2,35.4 x 25.1 x 2.24 ~ 2.49 cm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507zc4-hn095w-i5-12500h,Asus,Asus TUF Gaming FX507ZC4-HN095W i5 12500H,Core i5,12500H,15.6,1920 x 1080 Pixels,IPS,144,250 nits,Gaming FX507ZC4-HN095W i5 12500H
"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11 (No.00899872)",15690000.0,17490000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, Hãng không công bố Hz, 300 nits, IPS",i7,16,512.0,Intel Iris Xe Graphics,Windows 11,1.6,359.2 x 236.5 x 19.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15iau7-i7-1255u,Lenovo,Lenovo Ideapad 3 15IAU7 i7 1255U,Core i7,1255U,15.6,1920 x 1080 Pixels,IPS,Hãn,300 nits,3 15IAU7 i7 1255U
"Laptop MSI Modern 14 C7M-220VN R5 7530U/8GB/512GB/14""FHD/Win 11 (No.00895155)",10490000.0,11990000.0,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, FHD",Ryzen 5,8,512.0,AMD Radeon Graphics,Windows 11,1.4,319.9 x 223 x 19.35 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-c7m-220vn-r5-7530u,MSI,MSI Modern 14 C7M-220VN R5 7530U,Ryzen 5,7530U,14.0,1920 x 1080 Pixels,IPS,60,FHD,14 C7M-220VN R5 7530U
Laptop Asus TUF Gaming FX506HF-HN017W i5 11400H/16GB/512GB/GeForce RTX 2050 4GB/Win11 (No.00870696),17490000.0,19990000.0,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-Glare",i5,16,512.0,,Windows 11,2.3,359 x 256 x 22.8 ~ 24.3 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hf-hn017w-i5-11400h,Asus,Asus TUF Gaming FX506HF-HN017W i5 11400H,Core i5,11400H,15.6,1920 x 1080 Pixels,IPS,144,Anti-Glare,Gaming FX506HF-HN017W i5 11400H
"Laptop Dell Inspiron 15 N3530 i5 1335U/16GB/512GB/15.6""FHD/NVIDIA MX550 2GB/Win11/Office HS21 (No.00904770)",22090000.0,22090000.0,"15.6 inch, FHD (1920 x 1080), WVA, 120 Hz, 250 nits, Anti-Glare LED-Backlit Display",i5,16,512.0,NVIDIA GeForce MX550 2GB,Windows 11,1.6,358 x 236 x 18 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-15-n3530-i5-1335u,Dell,Dell Inspiron 15 N3530 i5 1335U,Core i5,1335U,15.6,FHD (1920 x 1080),WVA,120,250 nits,15 N3530 i5 1335U
