Price sale,Price origin,CPU,Ram,Storage,Screen size,Operating system,URL,Title,dec,Brand,Name
24990000.0,25990000.0,i7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-acer-nitro-v-anv15-51-72vs-corei7-13620h.html,Laptop Acer Nitro V ANV15-51-72VS,"Intel Core i7-13620H, RAM 16GB, SSD 512GB, RTX 2050 4GB GDDR6, Màn Hình 15.6 inch FHD, Windows 11, Obsidian black)",Acer,Nitro V ANV15-51-72VS
15990000.0,20990000.0,i5,8.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-acer-gaming-aspire-5-a515-58gm-53pz.html,Laptop Acer Gaming Aspire 5 A515-58GM-53PZ,"Intel Core i5-13420H, RAM 8GB, SSD 512GB, RTX2050 4GB GDDR6, Màn Hình 15.6inch FHD, Windows 11, Steel Gray)",Acer,Gaming Aspire 5 A515-58GM-53PZ
27190000.0,29990000.0,i7,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-dell-inspiron-14-7430-2in1-t7430-i7u165w11slu.html,Laptop Dell Inspiron 14 7430 2in1 T7430-i7U165W11SLU,"Core i7-1355U, Ram 16GB, SSD 512GB, Màn Hình 14 Inch FHD+ TouchScreen, Windows 11, Office HS 21, Kèm Bút Cảm Ứng)",Dell,Inspiron 14 7430 2in1 T7430-i7U165W11SLU
27229887.21804511,27229887.21804511,I5,8.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-dell-vostro-15-3520-5m2tt2.html,Laptop Dell Vostro 15 3520 5M2TT2,"Intel Core I5-1235U, RAM 8GB, SSD 512GB, Màn Hình 15.6 inch FHD, Windows 11)",Dell,Vostro 15 3520 5M2TT2
15490000.0,16990000.0,71030559),8,256,15,Windows 11,https://philong.com.vn/laptop-dell-vostro-v3520-71030559.html,Laptop Dell Vostro V3520,71030559),Dell,Vostro V3520
17790000.0,20290000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-dell-inspiron-3530-n5i5791w1.html,Laptop Dell Inspiron 3530 N5I5791W1,"Core i5-1335U, RAM 16GB, SSD 512GB, VGA Intel UHD, Màn Hình 15.6 inch FHD 120Hz, Windows 11, Office)",Dell,Inspiron 3530 N5I5791W1
19990000.0,19990000.0,I7,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-lenovo-thinkpad-e14-gen-4-21e300gwvn.html,Laptop Lenovo ThinkPad E14 Gen 4 21E300GWVN,"Intel Core I7-1255U, RAM 16GB, SSD 512GB, Intel Iris Xe, Màn Hình 14inch Full HD,  Windows 11, Màu Đen)",Lenovo,ThinkPad E14 Gen 4 21E300GWVN
20990000.0,23990000.0,I7,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-lenovo-thinkbook-14-g6-irl-21kg00buvn.html,Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BUVN,"Intel Core I7-13700H, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Màn Hình 14 inch WUXGA , No OS)",Lenovo,ThinkBook 14 G6 IRL 21KG00BUVN
32990000.0,33990000.0,I7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-gaming-lenovo-loq-15irx9-83dv0092vn.html,Laptop Gaming Lenovo LOQ 15IRX9 83DV0092VN,"Intel Core I7-13650HX, RAM 16GB DDR5, SSD 512GB, VGA RTX 4060 8GB, Màn Hình 15.6 Inch Full HD, Windows 11)",Gaming,Lenovo LOQ 15IRX9 83DV0092VN
32590000.0,33590000.0,21F60082VA),8,256,15,Windows 11,https://philong.com.vn/lenovo-thinkpad-t14s-gen-4-21f60082va.html,Laptop Lenovo ThinkPad T14s Gen 4,21F60082VA),Lenovo,ThinkPad T14s Gen 4
27229887.21804511,27229887.21804511,"AMD R5 7530U, Ram 8GB, SSD 512GB, Màn Hình 14.0inch FHD IPS, Windows 11, Đen)",8.0,512.0,14.0,Windows 11,https://philong.com.vn/laptop-msi-modern-14-c7m-220vn-amd-r5-7530u.html,Laptop MSI Modern 14 C7M 220VN,"AMD R5 7530U, Ram 8GB, SSD 512GB, Màn Hình 14.0inch FHD IPS, Windows 11, Đen)",MSI,Modern 14 C7M 220VN
21490000.0,22490000.0,I5,16.0,512.0,15,Windows 11,https://philong.com.vn/laptop-msi-gaming-gf63-12ve-460vn.html,Laptop MSI Gaming GF63 12VE-460VN,"Core I5-12450H, RAM 16GB, SSD 512GB, VGA 6GB RTX4050, Màn Hình 15.6 FHD 144Hz, Windows 11)",MSI,Gaming GF63 12VE-460VN
31990000.0,36990000.0,i7,32.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp181w.html,Laptop ASUS TUF Gaming F15 FX507VV-LP181W,"Intel Core i7-13620H, RAM 32GB, SSD 512GB, GeForce RTX 4060 8GB, Màn Hình 15.6inch FHD 144Hz 100% sRGB, Windows 11)",ASUS,TUF Gaming F15 FX507VV-LP181W
29990000.0,33990000.0,i7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp157w.html,Laptop ASUS TUF Gaming F15 FX507VV-LP157W,"Intel Core i7-13620H, RAM 16GB, SSD 512GB, GeForce RTX 4060 8GB, Màn Hình 15.6inch FHD 144Hz 100% sRGB, Windows 11)",ASUS,TUF Gaming F15 FX507VV-LP157W
19990000.0,22990000.0,i7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1491w.html,Laptop ASUS VivoBook 15 OLED A1505VA-L1491W,"Intel Core i7-13700H, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Màn Hình 15.6inch FHD OLED, Windows 11)",ASUS,VivoBook 15 OLED A1505VA-L1491W
17190000.0,20990000.0,I5,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-asus-vivobook-14-oled-a1405va-km257w.html,Laptop ASUS VivoBook 14 OLED A1405VA-KM257W,"Intel Core I5-13500H, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Màn Hình 14inch 2.8K OLED 100% DCI-P3, Windows 11)",ASUS,VivoBook 14 OLED A1405VA-KM257W
24290000.0,24290000.0,i5,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-dell-inspiron-5440-n4i5211w1-intel-core-i5.html,Laptop Dell Inspiron 5440 N4I5211W1,"Intel Core i5-120U, RAM 16GB, SSD 512GB, Iris Xe Graphics, Màn Hình 14 inch FHD+, Windows 11, Office, Màu Xanh)",Dell,Inspiron 5440 N4I5211W1
25990000.0,25990000.0,i7,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-van-phong-dell-inspiron-5440-n4i7204w1.html,Laptop Dell Inspiron 5440 N4I7204W1,"Intel Core i7-150U, RAM 16GB, SSD 512GB, Iris Xe Graphics, Màn Hình 14 inch FHD+, Windows 11, Office, Màu Xanh)",Dell,Inspiron 5440 N4I7204W1
21990000.0,23590000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-hp-probook-450-g10-9h8v8pt.html,Laptop HP ProBook 450 G10 9H8V8PT,"Core i5-1340P, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Màn Hình 15.6 inch FHD, Cảm Ứng, Windows 11)",HP,ProBook 450 G10 9H8V8PT
23490000.0,23990000.0,Core Ultra 5,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-acer-swift-go-ai-2024-gen-2-sfg14-73-53x7.html,Laptop Acer Swift Go AI 2024 Gen 2 SFG14-73-53X7,"Intel Core Ultra 5-125H, RAM 16GB, SSD 512GB, Intel ARC Graphics, Màn Hình 14inch 2.8K 100% sRGB, Windows 11)",Acer,Swift Go AI 2024 Gen 2 SFG14-73-53X7
15990000.0,16990000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-hp-15s-fq5160tu-7c0s1pa-core-i5-1235u-ram-16gb-ssd-512gb-vga-iris-xe-graphics-man-hinh-15.6-inch-fhd-windows-11-natural-silver.html,Laptop HP 15s-fq5160TU 7C0S1PA,"Core i5-1235U, RAM 16GB, SSD 512GB, VGA Iris Xe Graphics, Màn Hình 15.6 inch FHD, Windows 11, Natural Silver)",HP,15s-fq5160TU 7C0S1PA
26990000.0,27990000.0,Core Ultra 7,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-acer-swift-go-ai-2024-gen-2-sfg14-73-71zx.html,Laptop Acer Swift Go AI 2024 Gen 2 SFG14-73-71ZX,"Intel Core Ultra 7 155H, RAM 16GB, SSD 512GB, Intel ARC Graphics, Màn Hình 14inch 2.8K 100% sRGB, Windows 11)",Acer,Swift Go AI 2024 Gen 2 SFG14-73-71ZX
26490000.0,26490000.0,i5,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-dell-inspiron-5430-n5430-i5p165w11sl2050.html,Laptop Dell Inspiron 5430 N5430-I5P165W11SL2050,"Intel Core i5-1340P, RAM 16GB, SSD 512GB, RTX 2050, Màn Hình 14 inch FHD+, Windows 11)",Dell,Inspiron 5430 N5430-I5P165W11SL2050
24990000.0,24990000.0,i7,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-lenovo-thinkpad-e14-g5-21jk007xvn.html,Laptop Lenovo ThinkPad E14 G5 21JK007XVN,"Intel Core i7-1355U, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Màn Hình 14inch WUXGA, Windows 11)",Lenovo,ThinkPad E14 G5 21JK007XVN
19490000.0,22590000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-van-phong-hp-probook-450-g10-9h1n5pt.html,Laptop HP ProBook 450 G10 9H1N5PT,"Intel core i5-1335U, RAM 16GB, SSD 512GB, Màn Hình 15.6 inch FHD, VGA Intel UHD Graphics, Windows 11, Màu Bạc)",HP,ProBook 450 G10 9H1N5PT
