Title,Price sale,Price origin,CPU,Ram,Storage,Operating system,Brand,Screen size
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11 (No.00872250)",12290000.0,14990000.0,Ryzen 5,16.0,512.0,Windows 11,Asus,14.0
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/Nvidia RTX 2050 4GB/Win11 (No.00906453)",18490000.0,21490000.0,i5,16.0,512.0,Windows 11,Lenovo,15.6
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14''FHD/AMD Radeon Graphics/Win11 (No.00874398),13490000.0,15190000.0,Ryzen 5,16.0,512.0,Windows 11,HP,14.0
"Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6""FHD/Win11 (No.00906291)",12490000.0,14990000.0,Ryzen 7,16.0,512.0,Windows 11,Acer,15.6
Laptop HP Pavilion Aero 13-be2098AU R7 7735U/16GB/512GB/13.3''WUXGA/Win11 (No.00900050),19490000.0,21990000.0,Ryzen 7,16.0,512.0,Windows 11,HP,13.3
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX 3050 4GB/Win11 (No.00883758)",20990000.0,24990000.0,i5,16.0,512.0,Windows 11,Asus,15.6
"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11 (No.00899872)",15690000.0,17490000.0,i7,16.0,512.0,Windows 11,Lenovo,15.6
"Laptop MSI Modern 14 C7M-220VN R5 7530U/8GB/512GB/14""FHD/Win 11 (No.00895155)",10490000.0,11990000.0,Ryzen 5,8.0,512.0,Windows 11,MSI,14.0
Laptop Asus TUF Gaming FX506HF-HN017W i5 11400H/16GB/512GB/GeForce RTX 2050 4GB/Win11 (No.00870696),17490000.0,19990000.0,i5,16.0,512.0,Windows 11,Asus,15.6
"Laptop Dell Inspiron 15 N3530 i5 1335U/16GB/512GB/15.6""FHD/NVIDIA MX550 2GB/Win11/Office HS21 (No.00904770)",22090000.0,22090000.0,i5,16.0,512.0,Windows 11,Dell,15.6
"Laptop Asus Vivobook X1404ZA-NK387W i3 1215U/8GB/512GB/14"" FHD/Win11 (No.00904944)",9990000.0,11990000.0,i3,8.0,512.0,Windows 11,Asus,14.0
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11 (No.00898312)",13890000.0,15490000.0,i5,16.0,512.0,Windows 11,Lenovo,14.0
"Laptop MSI Gaming Thin GF63 12VE-454VN i5 12450H/16GB/512GB/15.6"" FHD/GeForce RTX 4050 6GB/Win 11 (No.00878325)",19990000.0,22990000.0,i5,16.0,512.0,Windows 11,MSI,15.6
"Laptop Dell Inspiron 15 N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21 (N5I5011W1) (No.00906638)",16490000.0,16990000.0,i5,16.0,512.0,Windows 11,Dell,15.6
"Laptop HP 245 G10 R5 7520U/8GB/256GB/14""FHD/Win11 (8F154PA) (No.00900029)",10490000.0,13290000.0,Ryzen 5,8.0,256.0,Windows 11,HP,14.0
"Laptop Acer Aspire 7 Gaming A715-76-57CY i5 12450H/8GB/512GB/15.6""""FHD/Win11 (No.00881876)",12490000.0,16990000.0,i5,8.0,512.0,Windows 11,Acer,15.6
