"Laptop HP 245 G10 R5-7520U/8GB/256GB/14""FHD/Win11 (9H8X8PT) (No.00906460)",10.490.000₫,13.290.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u-9h8x8pt
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11 (No.00872250)",12.290.000₫,14.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/Nvidia RTX 2050 4GB/Win11 (No.00906453)",18.490.000₫,21.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax-9-i5-12450hx
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14''FHD/AMD Radeon Graphics/Win11 (No.00874398),13.490.000₫,15.190.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u
,,,https://fptshop.com.vn/may-tinh-xach-tay/msiI-modern-14-c7m-221vn-r7-7730u
"Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6""FHD/Win11 (No.00906291)",12.490.000₫,14.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u
Laptop HP Pavilion Aero 13-be2098AU R7 7735U/16GB/512GB/13.3''WUXGA/Win11 (No.00900050),19.490.000₫,21.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-aero-13-be2098au-r7-7735u
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX 3050 4GB/Win11 (No.00883758)",20.990.000₫,24.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507zc4-hn095w-i5-12500h
"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11 (No.00899872)",15.690.000₫,17.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15iau7-i7-1255u
"Laptop MSI Modern 14 C7M-220VN R5 7530U/8GB/512GB/14""FHD/Win 11 (No.00895155)",10.490.000₫,11.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-c7m-220vn-r5-7530u
Laptop Asus TUF Gaming FX506HF-HN017W i5 11400H/16GB/512GB/GeForce RTX 2050 4GB/Win11 (No.00870696),17.490.000₫,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hf-hn017w-i5-11400h
"Laptop Dell Inspiron 15 N3530 i5 1335U/16GB/512GB/15.6""FHD/NVIDIA MX550 2GB/Win11/Office HS21 (No.00904770)",20.290.000₫,22.090.000₫,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-15-n3530-i5-1335u
"Laptop Asus Vivobook X1404ZA-NK387W i3 1215U/8GB/512GB/14"" FHD/Win11 (No.00904944)",9.990.000₫,11.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1404za-nk387w-i3-1215u
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11 (No.00898312)",13.890.000₫,15.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iah8-i5-12450h
"Laptop MSI Gaming Thin GF63 12VE-454VN i5 12450H/16GB/512GB/15.6"" FHD/GeForce RTX 4050 6GB/Win 11 (No.00878325)",22.990.000₫,,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-gf63-12ve-454vn-i5-12450h
"Laptop Dell Inspiron 15 N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21 (N5I5011W1) (No.00906638)",16.490.000₫,16.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/laptop-dell-inspiron-15-n3520-i5-1235u1-n5i5011w1
Laptop Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H/16GB/512GB/15.6''FHD/Win11 (No.00870695),17.990.000₫,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1505va-l1113w-i5-13500h
"Laptop HP 245 G10 R5 7520U/8GB/256GB/14""FHD/Win11 (8F154PA) (No.00900029)",10.490.000₫,13.290.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u
"Laptop Acer Aspire 7 Gaming A715-76-57CY i5 12450H/8GB/512GB/15.6""""FHD/Win11 (No.00881876)",12.490.000₫,16.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76-57cy-i5-12450h
Laptop HP Pavilion 14-dv2073TU i5 1235U/16GB/512GB/Win11 (No.00872252),17.490.000₫,20.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2073tu-i5-1235u
"Laptop Asus Vivobook X1504VA-NJ526W i5 1335U/16GB/512GB SSD/15.6"" FHD/Win11 (No.00904943)",15.990.000₫,18.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1504va-nj526w-i5-1335u
"Laptop Lenovo IdeaPad 1 15ALC7 R5 5500U/16GB/512GB/15.6"" FHD/Win11 (No.00901952)",12.990.000₫,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-1-15alc7-r5-5500u
"Laptop HP 15s-fq5144TU i7 1255U/16GB/512GB/15.6""FHD/Win11 (No.00859668)",18.490.000₫,22.890.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5144tu-i7-1255u
Laptop Asus Vivobook M3504YA-L1268W R5 7530U/16GB/512GB/15.6''OLED/Win11 (No.00895027),15.490.000₫,18.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m3504ya-l128w-r5-7530u
Laptop HP 14s-em0078AU R5 7520U/8GB/ 512GB/14''FHD/Win11 (No.00873154),14.190.000₫,,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0078au-r5-7520u
"Laptop Huawei MateBook D15 R7 5700U/8GB/512GB/15.6""FHD/Win11 (No.00888035)",11.790.000₫,13.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/huawei-bom-wfp9i-matebook-d15-r7-5700u
"Laptop Asus Vivobook Flip TN3402YA-LZ188W R5-7530U/16GB/512GB/14"" Touch/Win11 (No.00890480)",17.490.000₫,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-flip-tn3402ya-lz188w-r5-7530u
Title,Price sale,Price origin,url
